Date,Promoter,Public
2026-03-31,45.43,54.57
2025-12-31,45.43,54.57
2025-09-30,45.43,54.57
2025-06-30,45.43,54.57
2025-03-31,45.43,54.57
2024-12-31,45.43,54.57
2024-09-30,45.43,54.57
2024-06-30,45.43,54.57
2024-03-31,45.43,54.57
2023-12-31,45.43,54.57
2023-09-30,45.43,54.57
2023-06-30,45.43,54.57
2023-03-31,45.43,54.57
2022-12-31,45.43,54.57
2022-09-30,45.43,54.57
2022-06-30,45.43,54.57
2022-03-31,45.43,54.57
2021-12-31,45.43,54.57
2021-09-30,45.43,54.57
2021-06-30,45.43,54.57
2021-03-31,45.43,54.57
2020-12-31,45.43,54.57
2020-09-30,45.43,54.57
2020-06-30,45.43,54.57
2020-03-31,45.43,54.57
